拯救大兵瑞恩,1998,9.1,609457人评价
飞越疯人院,1975,9.1,521178人评价
小鞋子,1997,9.2,384698人评价
阿凡达,2009,8.8,1302256人评价
搏击俱乐部,1999,9.0,799293人评价
饮食男女,1994,9.2,576756人评价
美丽心灵,2001,9.1,724000人评价
本杰明·巴顿奇事,2008,9.0,927865人评价
穿条纹睡衣的男孩,2008,9.2,519921人评价
窃听风暴,2006,9.2,531293人评价
情书,1995,8.9,1026799人评价
两杆大烟枪,1998,9.1,563484人评价
西西里的美丽传说,2000,8.9,919112人评价
看不见的客人,2016,8.8,1175255人评价
音乐之声,1965,9.1,564273人评价
拯救大兵瑞恩,1998,9.1,609457人评价
飞越疯人院,1975,9.1,521178人评价
小鞋子,1997,9.2,384698人评价
阿凡达,2009,8.8,1302256人评价
哈利·波特与死亡圣器(下),2011,9.0,770835人评价
沉默的羔羊,1991,8.9,828258人评价
致命魔术,2006,8.9,808065人评价
禁闭岛,2010,8.9,909947人评价
布达佩斯大饭店,2014,8.9,864085人评价
海豚湾,2009,9.3,343428人评价
蝴蝶效应,2004,8.9,880838人评价
美国往事,1984,9.2,388711人评价
心灵捕手,1997,8.9,665966人评价
低俗小说,1994,8.9,782437人评价
音乐之声,1965,9.1,564273人评价
拯救大兵瑞恩,1998,9.1,609457人评价
飞越疯人院,1975,9.1,521178人评价
小鞋子,1997,9.2,384698人评价
阿凡达,2009,8.8,1302256人评价
哈利·波特与死亡圣器(下),2011,9.0,770835人评价
沉默的羔羊,1991,8.9,828258人评价
致命魔术,2006,8.9,808065人评价
禁闭岛,2010,8.9,909947人评价
布达佩斯大饭店,2014,8.9,864085人评价
海豚湾,2009,9.3,343428人评价
蝴蝶效应,2004,8.9,880838人评价
美国往事,1984,9.2,388711人评价
心灵捕手,1997,8.9,665966人评价
低俗小说,1994,8.9,782437人评价
春光乍泄,1997,9.0,592196人评价
摩登时代,1936,9.3,280000人评价
喜剧之王,1999,8.8,908499人评价
功夫,2004,8.8,1029667人评价
七宗罪,1995,8.8,896074人评价
哈利·波特与阿兹卡班的囚徒,2004,8.9,662251人评价
超脱,2011,9.0,532906人评价
致命ID,2003,8.8,766671人评价
杀人回忆,2003,8.9,659722人评价
红辣椒,2006,9.1,424779人评价
海豚湾,2009,9.3,343428人评价
蝴蝶效应,2004,8.9,880838人评价
美国往事,1984,9.2,388711人评价
心灵捕手,1997,8.9,665966人评价
低俗小说,1994,8.9,782437人评价
春光乍泄,1997,9.0,592196人评价
摩登时代,1936,9.3,280000人评价
喜剧之王,1999,8.8,908499人评价
功夫,2004,8.8,1029667人评价
七宗罪,1995,8.8,896074人评价
哈利·波特与阿兹卡班的囚徒,2004,8.9,662251人评价
超脱,2011,9.0,532906人评价
致命ID,2003,8.8,766671人评价
杀人回忆,2003,8.9,659722人评价
红辣椒,2006,9.1,424779人评价
加勒比海盗,2003,8.8,809786人评价
狩猎,2012,9.1,362429人评价
被嫌弃的松子的一生,2006,8.9,669898人评价
7号房的礼物,2013,8.9,521325人评价
请以你的名字呼唤我,2017,8.9,672941人评价
剪刀手爱德华,1990,8.7,990332人评价
唐伯虎点秋香,1993,8.7,1007141人评价
断背山,2005,8.8,672601人评价
哈利·波特与密室,2002,8.8,688590人评价
一一,2000,9.1,356813人评价
哈利·波特与阿兹卡班的囚徒,2004,8.9,662251人评价
超脱,2011,9.0,532906人评价
致命ID,2003,8.8,766671人评价
杀人回忆,2003,8.9,659722人评价
红辣椒,2006,9.1,424779人评价
加勒比海盗,2003,8.8,809786人评价
狩猎,2012,9.1,362429人评价
被嫌弃的松子的一生,2006,8.9,669898人评价
7号房的礼物,2013,8.9,521325人评价
请以你的名字呼唤我,2017,8.9,672941人评价
剪刀手爱德华,1990,8.7,990332人评价
唐伯虎点秋香,1993,8.7,1007141人评价
断背山,2005,8.8,672601人评价
哈利·波特与密室,2002,8.8,688590人评价
一一,2000,9.1,356813人评价
勇敢的心,1995,8.9,537063人评价
入殓师,2008,8.9,626987人评价
第六感,1999,8.9,522907人评价
爱在黎明破晓前,1995,8.8,627299人评价
重庆森林,1994,8.8,758420人评价
蝙蝠侠：黑暗骑士崛起,2012,8.8,678280人评价
幽灵公主,1997,8.9,493878人评价
天使爱美丽,2001,8.7,922983人评价
菊次郎的夏天,1999,8.9,557641人评价
小森林 夏秋篇,2014,9.0,401953人评价
剪刀手爱德华,1990,8.7,990332人评价
唐伯虎点秋香,1993,8.7,1007141人评价
断背山,2005,8.8,672601人评价
哈利·波特与密室,2002,8.8,688590人评价
一一,2000,9.1,356813人评价
勇敢的心,1995,8.9,537063人评价
入殓师,2008,8.9,626987人评价
第六感,1999,8.9,522907人评价
爱在黎明破晓前,1995,8.8,627299人评价
重庆森林,1994,8.8,758420人评价
蝙蝠侠：黑暗骑士崛起,2012,8.8,678280人评价
幽灵公主,1997,8.9,493878人评价
天使爱美丽,2001,8.7,922983人评价
菊次郎的夏天,1999,8.9,557641人评价
小森林 夏秋篇,2014,9.0,401953人评价
阳光灿烂的日子,1994,8.9,580584人评价
超能陆战队,2014,8.7,950078人评价
完美的世界,1993,9.1,292338人评价
爱在日落黄昏时,2004,8.9,516425人评价
无人知晓,2004,9.1,296411人评价
消失的爱人,2014,8.7,873204人评价
甜蜜蜜,1996,8.9,498946人评价
借东西的小人阿莉埃蒂,2010,8.9,517013人评价
倩女幽魂,1987,8.8,689676人评价
小森林 冬春篇,2015,9.0,358125人评价
蝙蝠侠：黑暗骑士崛起,2012,8.8,678280人评价
幽灵公主,1997,8.9,493878人评价
天使爱美丽,2001,8.7,922983人评价
菊次郎的夏天,1999,8.9,557641人评价
小森林 夏秋篇,2014,9.0,401953人评价
阳光灿烂的日子,1994,8.9,580584人评价
超能陆战队,2014,8.7,950078人评价
完美的世界,1993,9.1,292338人评价
爱在日落黄昏时,2004,8.9,516425人评价
无人知晓,2004,9.1,296411人评价
消失的爱人,2014,8.7,873204人评价
甜蜜蜜,1996,8.9,498946人评价
借东西的小人阿莉埃蒂,2010,8.9,517013人评价
倩女幽魂,1987,8.8,689676人评价
小森林 冬春篇,2015,9.0,358125人评价
侧耳倾听,1995,8.9,433708人评价
时空恋旅人,2013,8.8,613013人评价
幸福终点站,2004,8.8,530123人评价
驯龙高手,2010,8.8,712528人评价
萤火之森,2011,8.9,498653人评价
教父3,1990,9.0,346199人评价
寄生虫,2019,8.8,1289484人评价
怪兽电力公司,2001,8.8,625278人评价
一个叫欧维的男人决定去死,2015,8.9,432944人评价
玛丽和马克思,2009,8.9,405249人评价
消失的爱人,2014,8.7,873204人评价
甜蜜蜜,1996,8.9,498946人评价
借东西的小人阿莉埃蒂,2010,8.9,517013人评价
倩女幽魂,1987,8.8,689676人评价
小森林 冬春篇,2015,9.0,358125人评价
侧耳倾听,1995,8.9,433708人评价
时空恋旅人,2013,8.8,613013人评价
幸福终点站,2004,8.8,530123人评价
驯龙高手,2010,8.8,712528人评价
萤火之森,2011,8.9,498653人评价
教父3,1990,9.0,346199人评价
寄生虫,2019,8.8,1289484人评价
怪兽电力公司,2001,8.8,625278人评价
一个叫欧维的男人决定去死,2015,8.9,432944人评价
玛丽和马克思,2009,8.9,405249人评价
玩具总动员3,2010,8.9,480816人评价
未麻的部屋,1997,9.1,301264人评价
傲慢与偏见,2005,8.7,743229人评价
神偷奶爸,2010,8.6,897274人评价
大鱼,2003,8.8,538852人评价
告白,2010,8.8,641008人评价
釜山行,2016,8.6,1123701人评价
被解救的姜戈,2012,8.8,571383人评价
哈利·波特与火焰杯,2005,8.7,599949人评价
阳光姐妹淘,2011,8.8,567242人评价
教父3,1990,9.0,346199人评价
寄生虫,2019,8.8,1289484人评价
怪兽电力公司,2001,8.8,625278人评价
一个叫欧维的男人决定去死,2015,8.9,432944人评价
玛丽和马克思,2009,8.9,405249人评价
玩具总动员3,2010,8.9,480816人评价
